customer_id,product_id,product_category,transaction_date,sales_amount
CUST001,PROD001,Electronics,2024-01-15,1250.50
CUST002,PROD002,Software,2024-01-16,3500.00
CUST003,PROD003,Office Supplies,2024-01-17,450.75
CUST001,PROD004,Electronics,2024-01-18,890.25
CUST004,PROD005,Marketing Services,2024-01-19,2200.00
CUST002,PROD006,Software,2024-01-20,1800.00
CUST005,PROD007,Consulting,2024-01-21,5000.00
CUST003,PROD008,Office Supplies,2024-01-22,320.50
CUST006,PROD001,Electronics,2024-01-23,1250.50
CUST001,PROD009,Marketing Services,2024-01-24,1500.00
CUST007,PROD002,Software,2024-01-25,3500.00
CUST004,PROD010,Consulting,2024-01-26,4200.00
CUST005,PROD011,Training,2024-01-27,2800.00
CUST008,PROD003,Office Supplies,2024-01-28,450.75
CUST002,PROD012,Electronics,2024-01-29,2100.00
CUST009,PROD005,Marketing Services,2024-01-30,2200.00
CUST010,PROD007,Consulting,2024-02-01,5000.00
CUST001,PROD013,Training,2024-02-02,3200.00
CUST003,PROD014,Office Supplies,2024-02-03,275.00
CUST006,PROD015,Electronics,2024-02-04,1890.50
CUST011,PROD002,Software,2024-02-05,3500.00
CUST004,PROD016,Marketing Services,2024-02-06,1800.00
CUST007,PROD017,Consulting,2024-02-07,4500.00
CUST012,PROD001,Electronics,2024-02-08,1250.50
CUST005,PROD018,Training,2024-02-09,2900.00
CUST008,PROD019,Office Supplies,2024-02-10,520.25
CUST002,PROD020,Software,2024-02-11,4200.00
CUST013,PROD005,Marketing Services,2024-02-12,2200.00
CUST009,PROD021,Consulting,2024-02-13,3800.00
CUST010,PROD022,Training,2024-02-14,3100.00

